Sujet Age Gender Blind Block Essai Structure Nombre_X Identifiable Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
Ka 25 F N 1 81 no-less-than 7 NA 5 blue yellow 1 0 5 1 4 0 5 0 -2 FALSE Inferior 0 6588
Ka 25 F N 1 82 less-than 7 NA 10 red black 2 0 6 0 4 1 6 1 3 FALSE Superior 0 6787
Ka 25 F N 1 83 no-more-than 7 NA 8 blue red 2 1 6 0 3 1 3 1 1 FALSE Superior 0 16818
Ka 25 F N 1 84 no-less-than 7 NA 4 red black 4 0 2 0 1 0 4 1 -3 FALSE Inferior 0 3646
Ka 25 F N 1 85 exactly 6 NA 6 blue yellow 2 1 2 1 2 1 3 0 0 TRUE Equal 100 2172
Ka 25 F N 1 86 exactly 7 NA 7 green blue 3 1 2 1 3 0 2 1 0 TRUE Equal 100 6005
Ka 25 F N 1 87 less-than 6 NA 3 red yellow 3 0 3 0 3 0 3 1 -3 TRUE Inferior 100 2391
Ka 25 F N 1 88 no-less-than 7 NA 9 green red 2 0 3 1 3 1 3 1 2 TRUE Superior 100 13756
Ka 25 F N 1 89 less-than 7 NA 4 green black 2 0 4 0 4 1 2 0 -3 TRUE Inferior 100 2877
Ka 25 F N 1 90 no-more-than 7 NA 5 blue red 1 0 5 1 6 0 2 0 -2 TRUE Inferior 100 3513
Ka 25 F N 1 91 no-less-than 8 NA 8 green blue 6 0 3 1 3 0 5 1 0 TRUE Equal 100 9132
Ka 25 F N 1 92 more-than 6 NA 6 green blue 1 1 3 0 1 1 4 1 0 FALSE Equal 0 4664
Ka 25 F N 1 93 exactly 8 NA 10 red blue 3 0 2 1 4 1 4 1 2 ? Superior 0 5160
Ka 25 F N 1 94 more-than 6 NA 5 red green 3 0 5 1 5 0 5 0 -1 FALSE Inferior 0 3025
Ka 25 F N 1 95 more-than 6 NA 3 blue red 1 0 1 0 6 0 3 1 -3 FALSE Inferior 0 1941
Ka 25 F N 1 96 no-more-than 6 NA 3 green red 3 1 5 0 4 0 4 0 -3 TRUE Inferior 100 4330
Ka 25 F N 1 97 no-more-than 8 NA 11 red green 4 1 1 1 3 0 6 1 3 FALSE Superior 0 5867
Ka 25 F N 1 98 no-less-than 6 NA 7 green black 4 0 4 1 4 0 3 1 1 TRUE Superior 100 7135
Ka 25 F N 1 99 exactly 7 NA 9 red yellow 3 1 6 1 4 0 1 0 2 ? Superior 0 3158
Ka 25 F N 1 100 exactly 6 NA 7 blue black 2 1 6 0 6 0 5 1 1 ? Superior 0 4983
Ka 25 F N 1 101 less-than 8 NA 8 blue green 2 1 4 0 2 1 4 1 0 FALSE Equal 0 4900
Ka 25 F N 1 102 exactly 8 NA 5 green yellow 1 0 4 0 3 0 5 1 -3 FALSE Inferior 0 2492
Ka 25 F N 1 103 exactly 8 NA 6 red green 1 0 2 1 2 1 2 1 -2 FALSE Inferior 0 2725
Ka 25 F N 1 104 no-less-than 8 NA 6 red green 4 1 5 0 1 1 1 1 -2 FALSE Inferior 0 5667
Ka 25 F N 1 105 less-than 8 NA 5 blue green 4 0 5 0 5 1 4 0 -3 TRUE Inferior 100 3162
Ka 25 F N 1 106 no-less-than 7 NA 10 green red 3 1 6 0 4 1 3 1 3 TRUE Superior 100 10785
Ka 25 F N 1 107 less-than 8 NA 9 red black 2 1 1 0 4 1 3 1 1 FALSE Superior 0 7809
Ka 25 F N 1 108 less-than 8 NA 10 green red 5 1 6 0 5 1 5 0 2 FALSE Superior 0 6571
Ka 25 F N 1 109 more-than 6 NA 7 green blue 1 0 4 1 3 1 5 0 1 TRUE Superior 100 5317
Ka 25 F N 1 110 exactly 8 NA 9 red blue 4 1 4 0 2 1 3 1 1 ? Superior 0 4800
Ka 25 F N 1 111 more-than 7 NA 4 blue red 1 0 4 1 4 0 4 0 -3 FALSE Inferior 0 2661
Ka 25 F N 1 112 exactly 8 NA 11 green blue 4 1 6 0 4 1 3 1 3 ? Superior 0 3288
Ka 25 F N 1 113 more-than 8 NA 11 blue black 4 1 4 1 3 1 6 0 3 TRUE Superior 100 3093
Ka 25 F N 1 114 exactly 6 NA 9 red black 3 0 5 1 4 1 6 0 3 ? Superior 0 4565
Ka 25 F N 1 115 no-more-than 8 NA 9 red black 6 0 2 1 5 1 2 1 1 FALSE Superior 0 5401
Ka 25 F N 1 116 no-less-than 8 NA 7 red green 5 1 1 1 1 1 2 0 -1 FALSE Inferior 0 3766
Ka 25 F N 1 117 less-than 6 NA 7 blue red 5 0 4 1 2 1 1 1 1 FALSE Superior 0 4200
Ka 25 F N 1 118 no-less-than 6 NA 5 blue black 2 0 5 1 6 0 2 0 -1 FALSE Inferior 0 4634
Ka 25 F N 1 119 more-than 7 NA 10 blue black 4 0 5 1 5 0 5 1 3 TRUE Superior 100 7839
Ka 25 F N 1 120 no-less-than 8 NA 9 red yellow 6 1 3 1 1 0 6 0 1 TRUE Superior 100 10446
Ka 25 F N 2 1 no-more-than 8 NA 8 green red 2 1 3 1 4 0 3 1 0 TRUE Equal 100 10399
Ka 25 F N 2 2 more-than 8 NA 10 red blue 3 1 4 1 3 1 5 0 2 TRUE Superior 100 5819
Ka 25 F N 2 3 exactly 6 NA 6 red yellow 3 0 3 1 3 1 5 0 0 TRUE Equal 100 2156
Ka 25 F N 2 4 no-more-than 8 NA 10 blue black 4 1 6 1 5 0 2 0 2 FALSE Superior 0 4028
Ka 25 F N 2 5 more-than 6 NA 3 red yellow 4 0 1 0 3 1 4 0 -3 FALSE Inferior 0 4796
Ka 25 F N 2 6 less-than 6 NA 8 blue yellow 6 0 4 1 4 1 5 0 2 FALSE Superior 0 4066
Ka 25 F N 2 7 exactly 8 NA 5 blue red 6 0 5 1 5 0 3 0 -3 FALSE Inferior 0 3494
Ka 25 F N 2 8 less-than 6 NA 5 blue green 1 0 5 0 5 1 4 0 -1 TRUE Inferior 100 4582
Ka 25 F N 2 9 less-than 8 NA 6 green black 1 0 2 1 4 1 5 0 -2 TRUE Inferior 100 8093
Ka 25 F N 2 10 no-less-than 6 NA 5 green blue 5 1 1 0 2 0 2 0 -1 FALSE Inferior 0 2558
Ka 25 F N 2 11 exactly 7 NA 7 green yellow 5 1 5 0 2 1 3 0 0 TRUE Equal 100 2090
Ka 25 F N 2 12 exactly 8 NA 8 red blue 3 0 6 1 2 1 2 0 0 TRUE Equal 100 4767
Ka 25 F N 2 13 exactly 7 NA 10 green blue 4 1 6 0 4 1 2 1 3 ? Superior 0 3276
Ka 25 F N 2 14 exactly 7 NA 6 blue yellow 2 1 3 0 4 0 4 1 -1 FALSE Inferior 0 3506
Ka 25 F N 2 15 no-less-than 8 NA 6 red black 1 1 3 0 4 1 1 1 -2 FALSE Inferior 0 4567
Ka 25 F N 2 16 no-less-than 7 NA 5 red green 6 0 5 0 5 1 2 0 -2 FALSE Inferior 0 5099
Ka 25 F N 2 17 exactly 7 NA 9 green blue 2 0 4 0 6 1 3 1 2 ? Superior 0 3242
Ka 25 F N 2 18 more-than 6 NA 8 green red 2 0 2 1 3 0 6 1 2 TRUE Superior 100 2222
Ka 25 F N 2 19 less-than 7 NA 9 green yellow 2 1 4 1 6 0 3 1 2 FALSE Superior 0 4567
Ka 25 F N 2 20 less-than 6 NA 3 green red 4 0 1 0 6 0 3 1 -3 TRUE Inferior 100 2593
Ka 25 F N 2 21 no-more-than 7 NA 10 blue red 5 1 4 0 5 0 5 1 3 FALSE Superior 0 5783
Ka 25 F N 2 22 exactly 7 NA 7 red black 1 1 1 1 4 0 5 1 0 TRUE Equal 100 2592
Ka 25 F N 2 23 exactly 8 NA 6 red green 4 0 4 1 4 0 2 1 -2 FALSE Inferior 0 2272
Ka 25 F N 2 24 exactly 6 NA 9 red green 4 1 4 0 6 0 5 1 3 ? Superior 0 4046
Ka 25 F N 2 25 more-than 7 NA 7 blue yellow 4 0 3 1 2 1 2 1 0 FALSE Equal 0 5818
Ka 25 F N 2 26 no-less-than 7 NA 10 red blue 6 0 6 0 5 1 5 1 3 TRUE Superior 100 4281
Ka 25 F N 2 27 exactly 8 NA 11 red green 5 0 3 1 4 1 4 1 3 ? Superior 0 2760
Ka 25 F N 2 28 no-less-than 7 NA 9 green red 5 1 4 1 6 0 1 0 2 TRUE Superior 100 9296
Ka 25 F N 2 29 no-more-than 6 NA 7 green blue 2 1 4 0 2 0 5 1 1 FALSE Superior 0 5074
Ka 25 F N 2 30 exactly 6 NA 7 red yellow 3 1 4 0 3 1 1 1 1 ? Superior 0 2376
Ka 25 F N 2 31 exactly 7 NA 4 blue yellow 6 0 4 1 2 0 5 0 -3 FALSE Inferior 0 2776
Ka 25 F N 2 32 exactly 6 NA 8 blue green 2 1 3 1 5 0 3 1 2 ? Superior 0 2540
Ka 25 F N 2 33 no-less-than 8 NA 10 green blue 5 0 3 1 3 1 4 1 2 TRUE Superior 100 6553
Ka 25 F N 2 34 less-than 7 NA 8 red green 4 1 4 1 5 0 2 0 1 FALSE Superior 0 3227
Ka 25 F N 2 35 no-more-than 8 NA 5 blue black 4 0 5 1 6 0 2 0 -3 TRUE Inferior 100 5167
Ka 25 F N 2 36 more-than 7 NA 10 green black 4 1 6 0 4 0 6 1 3 TRUE Superior 100 3962
Ka 25 F N 2 37 no-less-than 6 NA 4 green red 4 1 1 0 3 0 3 0 -2 FALSE Inferior 0 2862
Ka 25 F N 2 38 more-than 7 NA 8 red yellow 2 1 2 0 4 1 2 1 1 TRUE Superior 100 6670
Ka 25 F N 2 39 exactly 6 NA 9 blue red 5 1 4 1 2 0 5 0 3 ? Superior 0 3247
Ka 25 F N 2 40 more-than 8 NA 9 green yellow 3 1 6 1 1 0 1 0 1 TRUE Superior 100 3910
Ka 25 F N 2 41 less-than 7 NA 4 green blue 5 0 4 1 1 0 1 0 -3 TRUE Inferior 100 2359
Ka 25 F N 2 42 more-than 7 NA 9 green black 2 1 2 0 2 1 5 1 2 TRUE Superior 100 4465
Ka 25 F N 2 43 no-more-than 6 NA 5 blue black 1 0 4 0 5 1 1 0 -1 TRUE Inferior 100 2477
Ka 25 F N 2 44 exactly 7 NA 7 green blue 4 0 4 1 2 0 3 1 0 TRUE Equal 100 2749
Ka 25 F N 2 45 no-more-than 6 NA 8 red green 4 1 3 0 2 1 2 1 2 FALSE Superior 0 3969
Ka 25 F N 2 46 exactly 6 NA 4 blue yellow 2 0 4 1 6 0 3 0 -2 FALSE Inferior 0 3059
Ka 25 F N 2 47 no-less-than 8 NA 7 blue black 3 0 1 1 6 1 4 0 -1 FALSE Inferior 0 2624
Ka 25 F N 2 48 exactly 7 NA 8 red yellow 3 1 2 1 3 1 6 0 1 ? Superior 0 4715
Ka 25 F N 2 49 no-more-than 7 NA 7 green black 3 1 4 0 4 1 6 0 0 TRUE Equal 100 4078
Ka 25 F N 2 50 exactly 8 NA 10 red blue 3 1 3 1 4 1 5 0 2 ? Superior 0 6369
Ka 25 F N 2 51 more-than 7 NA 5 blue red 1 0 5 1 6 0 5 0 -2 FALSE Inferior 0 2825
Ka 25 F N 2 52 no-less-than 6 NA 6 blue red 2 1 2 1 2 0 2 1 0 TRUE Equal 100 3996
Ka 25 F N 2 53 no-more-than 6 NA 4 red black 4 0 4 1 4 0 1 0 -2 TRUE Inferior 100 4162
Ka 25 F N 2 54 more-than 6 NA 4 red green 4 1 5 0 2 0 5 0 -2 FALSE Inferior 0 2175
Ka 25 F N 2 55 exactly 6 NA 6 red black 2 1 2 0 2 1 2 1 0 TRUE Equal 100 1924
Ka 25 F N 2 56 less-than 7 NA 7 blue red 5 1 3 0 1 1 1 1 0 FALSE Equal 0 3379
Ka 25 F N 2 57 no-less-than 6 NA 9 red yellow 2 0 3 1 6 1 6 0 3 TRUE Superior 100 3361
